Node Version,Cache Node Type,vCPU,Memory (GiB),Network Performance,SSD (GiB),Price Per Hour (On-Demand) (US East (Ohio)),Max Memory (Bytes),Client-output-buffer-limit-slave-hard-limit (Bytes),Client-output-buffer-limit-slave-soft-limit (Bytes),1 Byte to GB,Max Memory (GB),Client-output-buffer-limit-slave-hard-limit (GB),Client-output-buffer-limit-slave-soft-limit (GB),EC reserved memory percent (25%),EC2 Node type,CPU credits earned per hour,Maximum earned credits that can be accrued*,vCPUs,Baseline performance per vCPU,Memory (GiB),Network performance,Instance type,On-Demand hourly rate,vCPU,Memory (GiB),Storage,Network performance,EBS Bandwidth (Mbps),Baseline Performance / vCPU,CPU Credits Earned / Hr,Network Burst Bandwidth (Gbps)***,EBS Burst Bandwidth (Mbps),Delta (ElastiCache Cost - EC2 Cost)
Standard Cache Nodes - Current Generation,cache.t4g.micro,2,0.5,Up to 5 Gigabit,,0.016,536870912,53687091,53687091,9.31E-10,0.5,0.1,0.1,0.375,t4g.micro,12,288,2,10%,0.5,Up to 5 Gigabit,t4g.micro,0.01,2,1,EBS Only,Up to 5 Gigabit,,10%,12,Up to 5,"Up to 2,085",0.006
Standard Cache Nodes - Current Generation,cache.t4g.small,2,1.37,Up to 5 Gigabit,,0.032,1471026299,147102629,147102629,9.31E-10,1.37,0.2,0.2,1.0275,t4g.small,24,576,2,20%,1.37,Up to 5 Gigabit,t4g.small,0.02,2,2,EBS Only,Up to 5 Gigabit,,20%,24,Up to 5,"Up to 2,085",0.012
Standard Cache Nodes - Current Generation,cache.t4g.medium,2,3.09,Up to 5 Gigabit,,0.065,3317862236,331786223,331786223,9.31E-10,3.09,0.4,0.4,2.3175,t4g.medium,24,576,2,20%,3.09,Up to 5 Gigabit,t4g.medium,0.03,2,4,EBS Only,Up to 5 Gigabit,,20%,24,Up to 5,"Up to 2,085",0.035
Standard Cache Nodes - Current Generation,cache.t3.micro,2,0.5,Up to 5 Gigabit,,0.017,536870912,53687091,53687091,9.31E-10,0.5,0.1,0.1,0.375,t3.micro,12,288,2,10%,0.5,Up to 5 Gigabit,t3.micro,0.01,2,1,EBS Only,Up to 5 Gigabit,,12,,,,0.007
Standard Cache Nodes - Current Generation,cache.t3.small,2,1.37,Up to 5 Gigabit,,0.034,1471026299,147102629,147102629,9.31E-10,1.37,0.2,0.2,1.0275,t3.small,24,576,2,20%,1.37,Up to 5 Gigabit,t3.small,0.02,2,2,EBS Only,Up to 5 Gigabit,,24,,,,0.014
Standard Cache Nodes - Current Generation,cache.t3.medium,2,3.09,Up to 5 Gigabit,,0.068,3317862236,331786223,331786223,9.31E-10,3.09,0.4,0.4,2.3175,t3.medium,24,576,2,20%,3.09,Up to 5 Gigabit,t3.medium,0.04,2,4,EBS Only,Up to 5 Gigabit,,24,,,,0.028
Standard Cache Nodes - Current Generation,cache.t2.micro,1,0.555,Low to Moderate,,0.017,581959680,58195968,58195968,9.31E-10,0.55,0.1,0.1,0.4125,t2.micro,6,144,1,10%,0.5,Low to moderate,t2.micro,0.01,1,1,EBS Only,Low to Moderate,,6,,,,0.007
Standard Cache Nodes - Current Generation,cache.t2.small,1,1.55,Low to Moderate,,0.034,1665138688,166513868,166513868,9.31E-10,1.56,0.2,0.2,1.17,t2.small,12,288,1,20%,1.55,Low to moderate,t2.small,0.02,1,2,EBS Only,Low to Moderate,,12,,,,0.014
Standard Cache Nodes - Current Generation,cache.t2.medium,2,3.22,Low to Moderate,,0.068,3461349376,346134937,346134937,9.31E-10,3.23,0.4,0.4,2.4225,t2.medium,24,576,2,20%,3.22,Low to moderate,t2.medium,0.05,2,4,EBS Only,Low to Moderate,,24,,,,0.018
Standard Cache Nodes - Current Generation,cache.m6g.large,2,6.38,Up to 10 Gigabit,,0.149,6854542746,685454275,685454275,9.31E-10,6.39,0.7,0.7,4.7925,m6g.large,,,,,,,m6g.large,0.08,2,8,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.069
Standard Cache Nodes - Current Generation,cache.m6g.xlarge,4,12.93,Up to 10 Gigabit,,0.297,13891921715,1389192172,1389192172,9.31E-10,12.94,1.3,1.3,9.705,m6g.xlarge,,,,,,,m6g.xlarge,0.15,4,16,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.147
Standard Cache Nodes - Current Generation,cache.m6g.2xlarge,8,26.04,Up to 10 Gigabit,,0.593,27966669210,2796666921,2796666921,9.31E-10,26.04,2.7,2.7,19.53,m6g.2xlarge,,,,,,,m6g.2xlarge,0.31,8,32,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.283
Standard Cache Nodes - Current Generation,cache.m6g.4xlarge,16,52.26,Up to 10 Gigabit,,1.186,56116178125,5611617812,5611617812,9.31E-10,52.25,5.3,5.3,39.1875,m6g.4xlarge,,,,,,,m6g.4xlarge,0.62,16,64,EBS Only,Up to 10 Gigabit,4750,,,,,0.566
Standard Cache Nodes - Current Generation,cache.m6g.8xlarge,32,103.68,12 Gigabit,,2.372,1.11E+11,11132555231,11132555231,9.31E-10,103.65,10.4,10.4,77.7375,m6g.8xlarge,,,,,,,m6g.8xlarge,1.23,32,128,EBS Only,10 Gigabit,9000,,,,,1.142
Standard Cache Nodes - Current Generation,cache.m6g.12xlarge,48,157.12,20 Gigabit,,3.557,1.69E+11,16871597199,16871597199,9.31E-10,157.08,15.8,15.8,117.81,m6g.12xlarge,,,,,,,m6g.12xlarge,1.85,48,192,EBS Only,12 Gigabit,13500,,,,,1.707
Standard Cache Nodes - Current Generation,cache.m6g.16xlarge,64,209.55,25 Gigabit,,4.743,2.25E+11,22500037523,22500037523,9.31E-10,209.48,21,21,157.11,m6g.16xlarge,,,,,,,m6g.16xlarge,2.46,64,256,EBS Only,25 Gigabit,19000,,,,,2.283
Standard Cache Nodes - Current Generation,cache.m5.large,2,6.38,High,,0.156,6854542746,685454275,685454275,9.31E-10,6.39,0.7,0.7,4.7925,m5.large,,,,,,,m5.large,0.1,2,8,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.056
Standard Cache Nodes - Current Generation,cache.m5.xlarge,4,12.93,High,,0.311,13891921715,1389192172,1389192172,9.31E-10,12.94,1.3,1.3,9.705,m5.xlarge,,,,,,,m5.xlarge,0.19,4,16,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.121
Standard Cache Nodes - Current Generation,cache.m5.2xlarge,8,26.04,High,,0.623,27966669210,2796666921,2796666921,9.31E-10,26.04,2.7,2.7,19.53,m5.2xlarge,,,,,,,m5.2xlarge,0.38,8,32,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.243
Standard Cache Nodes - Current Generation,cache.m5.4xlarge,16,52.26,High,,1.245,56116178125,5611617812,5611617812,9.31E-10,52.25,5.3,5.3,39.1875,m5.4xlarge,,,,,,,m5.4xlarge,0.77,16,64,EBS Only,Up to 10 Gigabit,4750,,,,,0.475
Standard Cache Nodes - Current Generation,cache.m5.12xlarge,48,157.12,10 Gigabit,,3.744,1.69E+11,16871597199,16871597199,9.31E-10,157.08,15.8,15.8,117.81,m5.12xlarge,,,,,,,m5.12xlarge,2.3,48,192,EBS Only,10 Gigabit,9500,,,,,1.444
Standard Cache Nodes - Current Generation,cache.m5.24xlarge,96,314.32,25 Gigabit,,7.488,3.38E+11,33750056284,33750056284,9.31E-10,314.22,31.5,31.5,235.665,m5.24xlarge,,,,,,,m5.24xlarge,4.61,96,384,EBS Only,25 Gigabit,19000,,,,,2.878
Standard Cache Nodes - Current Generation,cache.m4.large,2,6.42,Moderate,,0.156,6892593152,689259315,689259315,9.31E-10,6.42,0.7,0.7,4.815,m4.large,,,,,,,m4.large,0.1,2,8,EBS Only,Moderate,450,,,,,0.056
Standard Cache Nodes - Current Generation,cache.m4.xlarge,4,14.28,High,,0.311,11496376320,1149637632,1149637632,9.31E-10,10.71,1.1,1.1,8.0325,m4.xlarge,,,,,,,m4.xlarge,0.2,4,16,EBS Only,High,750,,,,,0.111
Standard Cache Nodes - Current Generation,cache.m4.2xlarge,8,29.7,High,,0.623,31889126359,3188912636,3188912636,9.31E-10,29.69,3,3,22.2675,m4.2xlarge,,,,,,,m4.2xlarge,0.4,8,32,EBS Only,High,1000,,,,,0.223
Standard Cache Nodes - Current Generation,cache.m4.4xlarge,16,60.78,High,,1.245,65257290629,6525729063,6525729063,9.31E-10,60.76,6.1,6.1,45.57,m4.4xlarge,,,,,,,m4.4xlarge,0.8,16,64,EBS Only,High,2000,,,,,0.445
Standard Cache Nodes - Current Generation,cache.m4.10xlarge,40,154.64,10 Gigabit,,3.112,1.66E+11,16604761424,16604761424,9.31E-10,154.6,15.5,15.5,115.95,m4.10xlarge,,,,,,,m4.10xlarge,2,40,160,EBS Only,10 Gigabit,4000,,,,,1.112
Memory Optimized Cache Nodes - Current Generation,cache.r6g.large,2,13.07,Up to 10 Gigabit,,0.206,14037181030,1403718103,1403718103,9.31E-10,13.07,1.4,1.4,9.8025,r6g.large,,,,,,,r6g.large,0.1,2,16,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.106
Memory Optimized Cache Nodes - Current Generation,cache.r6g.xlarge,4,26.32,Up to 10 Gigabit,,0.411,28261849702,2826184970,2826184970,9.31E-10,26.32,2.7,2.7,19.74,r6g.xlarge,,,,,,,r6g.xlarge,0.2,4,32,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.211
Memory Optimized Cache Nodes - Current Generation,cache.r6g.2xlarge,8,52.82,Up to 10 Gigabit,,0.821,56711183565,5671118356,5671118356,9.31E-10,52.8,5.3,5.3,39.6,r6g.2xlarge,,,,,,,r6g.2xlarge,0.4,8,64,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.421
Memory Optimized Cache Nodes - Current Generation,cache.r6g.4xlarge,16,105.81,Up to 10 Gigabit,,1.642,1.14E+11,11360986522,11360986522,9.31E-10,105.78,10.6,10.6,79.335,r6g.4xlarge,,,,,,,r6g.4xlarge,0.81,16,128,EBS Only,Up to 10 Gigabit,4750,,,,,0.832
Memory Optimized Cache Nodes - Current Generation,cache.r6g.8xlarge,32,209.55,12 Gigabit,,3.284,2.25E+11,22500037523,22500037523,9.31E-10,209.48,21,21,157.11,r6g.8xlarge,,,,,,,r6g.8xlarge,1.61,32,256,EBS Only,10 Gigabit,9000,,,,,1.674
Memory Optimized Cache Nodes - Current Generation,cache.r6g.12xlarge,48,317.77,20 Gigabit,,4.925,3.41E+11,34120634655,34120634655,9.31E-10,317.67,31.8,31.8,238.2525,r6g.12xlarge,,,,,,,r6g.12xlarge,2.42,48,384,EBS Only,20 Gigabit,13500,,,,,2.505
Memory Optimized Cache Nodes - Current Generation,cache.r6g.16xlarge,64,419.09,25 Gigabit,,6.567,4.50E+11,45000075046,45000075046,9.31E-10,418.96,41.9,41.9,314.22,r6g.16xlarge,,,,,,,r6g.16xlarge,3.23,64,512,EBS Only,25 Gigabit,19000,,,,,3.337
Memory Optimized Cache Nodes - Current Generation,cache.r5.large,2,13.07,Up to 10 Gigabit,,0.216,14037181030,1403718103,1403718103,9.31E-10,13.07,1.4,1.4,9.8025,r5.large,,,,,,,r5.large,0.13,2,16,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.086
Memory Optimized Cache Nodes - Current Generation,cache.r5.xlarge,4,26.32,Up to 10 Gigabit,,0.431,28261849702,2826184970,2826184970,9.31E-10,26.32,2.7,2.7,19.74,r5.xlarge,,,,,,,r5.xlarge,0.25,4,32,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.181
Memory Optimized Cache Nodes - Current Generation,cache.r5.2xlarge,8,52.82,Up to 10 Gigabit,,0.862,56711183565,5671118356,5671118356,9.31E-10,52.8,5.3,5.3,39.6,r5.2xlarge,,,,,,,r5.2xlarge,0.5,8,64,EBS Only,Up to 10 Gigabit,"Up to 4,750",,,,,0.362
Memory Optimized Cache Nodes - Current Generation,cache.r5.4xlarge,16,105.81,Up to 10 Gigabit,,1.724,1.14E+11,11360986522,11360986522,9.31E-10,105.78,10.6,10.6,79.335,r5.4xlarge,,,,,,,r5.4xlarge,1.01,16,128,EBS Only,Up to 10 Gigabit,4750,,,,,0.714
Memory Optimized Cache Nodes - Current Generation,cache.r5.12xlarge,48,317.77,10 Gigabit,,5.184,3.41E+11,34120634655,34120634655,9.31E-10,317.67,31.8,31.8,238.2525,r5.12xlarge,,,,,,,r5.12xlarge,3.02,48,384,EBS Only,10 Gigabit,9500,,,,,2.164
Memory Optimized Cache Nodes - Current Generation,cache.r5.24xlarge,96,635.61,25 Gigabit,,10.368,6.82E+11,68248597381,68248597381,9.31E-10,635.4,63.6,63.6,476.55,r5.24xlarge,,,,,,,r5.24xlarge,6.05,96,768,EBS Only,25 Gigabit,19000,,,,,4.318
Memory Optimized Cache Nodes - Current Generation,cache.r4.large,2,12.3,Up to 10 Gigabit,,0.228,13201781556,1320178155,1320178155,9.31E-10,12.3,1.3,1.3,9.225,r4.large,,,,,,,r4.large,0.13,2,15.25,EBS Only,Up to 10 Gigabit,,,,,,0.098
Memory Optimized Cache Nodes - Current Generation,cache.r4.xlarge,4,25.05,Up to 10 Gigabit,,0.455,26898228839,2689822883,2689822883,9.31E-10,25.05,2.6,2.6,18.7875,r4.xlarge,,,,,,,r4.xlarge,0.27,4,30.5,EBS Only,Up to 10 Gigabit,,,,,,0.185
Memory Optimized Cache Nodes - Current Generation,cache.r4.2xlarge,8,50.47,Up to 10 Gigabit,,0.91,54197537997,5419753799,5419753799,9.31E-10,50.46,5.1,5.1,37.845,r4.2xlarge,,,,,,,r4.2xlarge,0.53,8,61,EBS Only,Up to 10 Gigabit,,,,,,0.38
Memory Optimized Cache Nodes - Current Generation,cache.r4.4xlarge,16,101.38,Up to 10 Gigabit,,1.82,1.09E+11,10885854658,10885854658,9.31E-10,101.35,10.2,10.2,76.0125,r4.4xlarge,,,,,,,r4.4xlarge,1.06,16,122,EBS Only,Up to 10 Gigabit,,,,,,0.76
Memory Optimized Cache Nodes - Current Generation,cache.r4.8xlarge,32,203.26,10 Gigabit,,3.64,2.18E+11,21825543209,21825543209,9.31E-10,203.2,20.4,20.4,152.4,r4.8xlarge,,,,,,,r4.8xlarge,2.13,32,244,EBS Only,10 Gigabit,,,,,,1.51
Memory Optimized Cache Nodes - Current Generation,cache.r4.16xlarge,64,407,25 Gigabit,,7.28,4.37E+11,43702157312,43702157312,9.31E-10,406.87,40.7,40.7,305.1525,r4.16xlarge,,,,,,,r4.16xlarge,4.26,64,488,EBS Only,20 Gigabit,,,,,,3.02
Memory Optimized Cache Nodes with data tiering - Current Generation,cache.r6gd.xlarge,4,26.32,Up to 10 Gigabit,99.33,0.781,28261849702,2826184970,2826184970,9.31E-10,26.32,2.7,2.7,19.74,r6gd.xlarge,,,,,,,r6gd.xlarge,0.23,4,32,1 x 237 NVMe SSD,Up to 10 Gigabit,"Up to 4,750",,,,,0.551
Memory Optimized Cache Nodes with data tiering - Current Generation,cache.r6gd.2xlarge,8,52.82,Up to 10 Gigabit,199.07,1.56,56711183565,5671118356,5671118356,9.31E-10,52.8,5.3,5.3,39.6,r6gd.2xlarge,,,,,,,r6gd.2xlarge,0.46,8,64,1 x 475 NVMe SSD,Up to 10 Gigabit,"Up to 4,750",,,,,1.1
Memory Optimized Cache Nodes with data tiering - Current Generation,cache.r6gd.4xlarge,16,105.81,Up to 10 Gigabit,398.14,3.12,1.14E+11,11360986522,11360986522,9.31E-10,105.78,10.6,10.6,79.335,r6gd.4xlarge,,,,,,,r6gd.4xlarge,0.92,16,128,1 x 950 NVMe SSD,Up to 10 Gigabit,4750,,,,,2.2
Memory Optimized Cache Nodes with data tiering - Current Generation,cache.r6gd.8xlarge,32,209.55,12 Gigabit,796.28,6.24,2.25E+11,22500037523,22500037523,9.31E-10,209.48,21,21,157.11,r6gd.8xlarge,,,,,,,r6gd.8xlarge,1.84,32,256,1 x 1900 NVMe SSD,10 Gigabit,9000,,,,,4.4
Memory Optimized Cache Nodes with data tiering - Current Generation,cache.r6gd.12xlarge,48,317.77,20 Gigabit,"1,194.42",9.358,3.41E+11,34120634655,34120634655,9.31E-10,317.67,31.8,31.8,238.2525,r6gd.12xlarge,,,,,,,r6gd.12xlarge,2.76,48,384,2 x 1425 NVMe SSD,20 Gigabit,13500,,,,,6.598
Memory Optimized Cache Nodes with data tiering - Current Generation,cache.r6gd.16xlarge,64,419.09,25 Gigabit,"1,592.56",12.477,4.50E+11,45000075046,45000075046,9.31E-10,418.96,41.9,41.9,314.22,r6gd.16xlarge,,,,,,,r6gd.16xlarge,3.69,64,512,2 x 1900 NVMe SSD,25 Gigabit,19000,,,,,8.787
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
